Date,profitMargin,P/E,P/B,PEG,D/E,ROE,ROA,dividendYield,dividendPayoutRatio,quickRatio,goodwill,dcf,price,stockPrice,numberOfShares,marketCapitalization,revenue,ebitda,revenueGrowth,netIncomeGrowth,freeCashFlowGrowth,dividendsperShareGrowth,fiveYDividendperShareGrowth,dividendPerShare,dividendPaid,ebitdaMargin,company_age,sector
2007-12-29,0.182,16.916,2.76,4.708,0.301,0.163,0.125,0.022,0.375,2.093,3916000000.0,21.55,20.29,20.29,5816000000.0,118006645816.0,38334000000.0,13964000000.0,0.083,0.383,0.575,0.125,4.617,0.45,2596146080.0,0.364,36,Technology
2008-12-27,0.141,14.318,1.938,3.88,0.28,0.135,0.105,0.041,0.586,1.734,3932000000.0,13.97,13.38,13.38,5663000000.0,75770940000.0,37586000000.0,12310000000.0,-0.02,-0.241,-0.249,0.216,5.819,0.55,3106608540.0,0.328,37,Technology
2009-12-26,0.124,25.845,2.708,6.872,0.273,0.105,0.082,0.028,0.711,2.133,4421000000.0,21.04,20.32,20.32,5557000000.0,112918240000.0,35127000000.0,10757000000.0,-0.065,-0.174,0.162,0.022,2.502,0.57,3161710720.0,0.306,38,Technology
2010-12-25,0.263,10.292,2.387,2.736,0.278,0.232,0.181,0.03,0.306,2.654,4531000000.0,22.23,21.24,21.24,5555000000.0,117988200000.0,43623000000.0,20683000000.0,0.242,1.624,0.726,0.127,0.967,0.64,3539646000.0,0.474,39,Technology
2011-12-31,0.24,10.86,3.061,2.731,0.549,0.282,0.182,0.029,0.319,1.537,9254000000.0,27.7,26.74,26.74,5256000000.0,140545440000.0,53999000000.0,23886000000.0,0.238,0.129,-0.112,0.245,0.962,0.78,4075817760.0,0.442,40,Technology
2012-12-29,0.206,9.556,2.054,2.284,0.647,0.215,0.13,0.041,0.395,1.705,9710000000.0,22.75,21.05,21.05,4996000000.0,105165795004.0,53341000000.0,22485000000.0,-0.012,-0.15,-0.31,0.109,0.934,0.86,4311797800.0,0.422,41,Technology
2013-12-28,0.183,12.771,2.109,3.037,0.585,0.165,0.104,0.036,0.466,1.744,10513000000.0,25.86,24.72,24.72,4970000000.0,122858395030.0,52708000000.0,20887000000.0,-0.012,-0.126,0.424,0.035,0.646,0.89,4422902400.0,0.396,42,Technology
2014-12-27,0.209,14.995,3.142,3.517,0.645,0.21,0.127,0.025,0.377,1.154,10861000000.0,36.33,35.81,35.81,4901000000.0,175504814901.0,55870000000.0,24542000000.0,0.06,0.217,0.019,-0.002,0.608,0.9,4387620250.0,0.439,43,Technology
2015-12-26,0.206,12.291,2.298,2.789,0.646,0.187,0.113,0.032,0.399,1.924,11332000000.0,32.83,29.6,29.6,4742000000.0,140363200000.0,55355000000.0,23260000000.0,-0.009,-0.024,0.132,0.068,0.524,0.95,4491622400.0,0.42,44,Technology
2016-12-31,0.174,17.157,2.673,3.883,0.698,0.156,0.091,0.028,0.477,1.073,14099000000.0,38.6,37.42,37.42,4730000000.0,176996590540.0,59387000000.0,21459000000.0,0.073,-0.097,0.053,0.084,0.326,1.05,4955904800.0,0.361,45,Technology
2017-12-30,0.153,24.472,3.404,5.505,0.773,0.139,0.078,0.022,0.528,1.126,24389000000.0,50.71,49.98,49.98,4701000000.0,234955980000.0,62761000000.0,29127000000.0,0.057,-0.069,-0.152,0.036,0.239,1.1,5169031560.0,0.464,46,Technology
2018-12-29,0.297,10.23,2.889,2.257,0.711,0.282,0.165,0.026,0.263,1.105,24513000000.0,47.36,46.71,46.71,4611000000.0,215379805389.0,70848000000.0,32870000000.0,0.129,1.193,0.379,0.114,0.333,1.21,5599875060.0,0.464,47,Technology
2019-12-28,0.292,13.785,3.744,2.914,0.76,0.272,0.154,0.019,0.265,0.932,26276000000.0,66.64,65.69,65.69,4417000000.0,290152738834.0,71965000000.0,35373000000.0,0.016,-0.0,0.188,0.051,0.403,1.25,5512901870.0,0.492,48,Technology
2020-12-26,0.268,11.139,2.873,2.238,0.889,0.258,0.137,0.024,0.266,1.239,26971000000.0,56.84,55.44,55.44,4199000000.0,232792555801.0,77867000000.0,37946000000.0,0.082,-0.007,0.236,0.05,0.38,1.33,5587021440.0,0.487,49,Technology
2021-12-25,0.251,10.977,2.286,2.206,0.765,0.208,0.118,0.026,0.284,1.379,26963000000.0,53.13,51.94,51.94,4059000000.0,210824455941.0,79024000000.0,34092000000.0,0.015,-0.049,-0.538,0.049,0.335,1.35,5481435960.0,0.431,50,Technology
